inu	['voiced, dental, nasal, stop']
iri	['voiced, dental-alveolar, oral, flap']
kā	['voiceless, velar, oral, stop']
kahaki	['voiceless, velar, oral, stop', 'voiceless, glottal, oral, fricative', 'voiceless, velar, oral, stop']
kāhaki	['voiceless, velar, oral, stop', 'voiceless, glottal, oral, fricative', 'voiceless, velar, oral, stop']
kai	['voiceless, velar, oral, stop']
kaingākau	['voiceless, velar, oral, stop', 'voiced, velar, nasal, stop', 'voiceless, velar, oral, stop']
kaiponu	['voiceless, velar, oral, stop', 'voiceless, bilabial, oral, stop', 'voiced, dental, nasal, stop']
kākahu	['voiceless, velar, oral, stop', 'voiceless, velar, oral, stop', 'voiceless, glottal, oral, fricative']
kakaro	['voiceless, velar, oral, stop', 'voiceless, velar, oral, stop', 'voiced, dental-alveolar, oral, flap']
kakau	['voiceless, velar, oral, stop', 'voiceless, velar, oral, stop']
kake	['voiceless, velar, oral, stop', 'voiceless, velar, oral, stop']
kanga	['voiceless, velar, oral, stop', 'voiced, velar, nasal, stop']
kape	['voiceless, velar, oral, stop', 'voiceless, bilabial, oral, stop']
kapi	['voiceless, velar, oral, stop', 'voiceless, bilabial, oral, stop']
kapo	['voiceless, velar, oral, stop', 'voiceless, bilabial, oral, stop']
kāpui	['voiceless, velar, oral, stop', 'voiceless, bilabial, oral, stop']
karakia	['voiceless, velar, oral, stop', 'voiced, dental-alveolar, oral, flap', 'voiceless, velar, oral, stop']
karanga	['voiceless, velar, oral, stop', 'voiced, dental-alveolar, oral, flap', 'voiced, velar, nasal, stop']
karapoti	['voiceless, velar, oral, stop', 'voiced, dental-alveolar, oral, flap', 'voiceless, bilabial, oral, stop', 'voiceless, dental, oral, stop']
karawhiu	['voiceless, velar, oral, stop', 'voiced, dental-alveolar, oral, flap', 'voiceless, labio-dental, oral, fricative']
kare	['voiceless, velar, oral, stop', 'voiced, dental-alveolar, oral, flap']
kari	['voiceless, velar, oral, stop', 'voiced, dental-alveolar, oral, flap']
karo	['voiceless, velar, oral, stop', 'voiced, dental-alveolar, oral, flap']
karo	['voiceless, velar, oral, stop', 'voiced, dental-alveolar, oral, flap']
kata	['voiceless, velar, oral, stop', 'voiceless, dental, oral, stop']
kati	['voiceless, velar, oral, stop', 'voiceless, dental, oral, stop']
kato	['voiceless, velar, oral, stop', 'voiceless, dental, oral, stop']
kau	['voiceless, velar, oral, stop']
kauhoe	['voiceless, velar, oral, stop', 'voiceless, glottal, oral, fricative']
kaui	['voiceless, velar, oral, stop']
kaukau	['voiceless, velar, oral, stop', 'voiceless, velar, oral, stop']
kaumātua	['voiceless, velar, oral, stop', 'voiced, bilabial, nasal, stop', 'voiceless, dental, oral, stop']
kaupare	['voiceless, velar, oral, stop', 'voiceless, bilabial, oral, stop', 'voiced, dental-alveolar, oral, flap']
kauwhau	['voiceless, velar, oral, stop', 'voiceless, labio-dental, oral, fricative']
kawe	['voiceless, velar, oral, stop', 'voiced, bilabial, oral, approximant']
kāwhaki	['voiceless, velar, oral, stop', 'voiceless, labio-dental, oral, fricative', 'voiceless, velar, oral, stop']
kāwiri	['voiceless, velar, oral, stop', 'voiced, bilabial, oral, approximant', 'voiced, dental-alveolar, oral, flap']
keri	['voiceless, velar, oral, stop', 'voiced, dental-alveolar, oral, flap']
ketu	['voiceless, velar, oral, stop', 'voiceless, dental, oral, stop']
ketuketu	['voiceless, velar, oral, stop', 'voiceless, dental, oral, stop', 'voiceless, velar, oral, stop', 'voiceless, dental, oral, stop']
keu	['voiceless, velar, oral, stop']
kī	['voiceless, velar, oral, stop']
kihi	['voiceless, velar, oral, stop', 'voiceless, glottal, oral, fricative']
kiki	['voiceless, velar, oral, stop', 'voiceless, velar, oral, stop']
kikini	['voiceless, velar, oral, stop', 'voiceless, velar, oral, stop', 'voiced, dental, nasal, stop']
kimi	['voiceless, velar, oral, stop', 'voiced, bilabial, nasal, stop']
kini	['voiceless, velar, oral, stop', 'voiced, dental, nasal, stop']
kite	['voiceless, velar, oral, stop', 'voiceless, dental, oral, stop']
ko	['voiceless, velar, oral, stop']
kō	['voiceless, velar, oral, stop']
koa	['voiceless, velar, oral, stop']
koara	['voiceless, velar, oral, stop', 'voiced, dental-alveolar, oral, flap']
kōhari	['voiceless, velar, oral, stop', 'voiceless, glottal, oral, fricative', 'voiced, dental-alveolar, oral, flap']
kohi	['voiceless, velar, oral, stop', 'voiceless, glottal, oral, fricative']
kohikohi	['voiceless, velar, oral, stop', 'voiceless, glottal, oral, fricative', 'voiceless, velar, oral, stop', 'voiceless, glottal, oral, fricative']
kōhua	['voiceless, velar, oral, stop', 'voiceless, glottal, oral, fricative']
kōhue	['voiceless, velar, oral, stop', 'voiceless, glottal, oral, fricative']
kōhure	['voiceless, velar, oral, stop', 'voiceless, glottal, oral, fricative', 'voiced, dental-alveolar, oral, flap']
kōhuru	['voiceless, velar, oral, stop', 'voiceless, glottal, oral, fricative', 'voiced, dental-alveolar, oral, flap']
koingo	['voiceless, velar, oral, stop', 'voiced, velar, nasal, stop']
kōkiri	['voiceless, velar, oral, stop', 'voiceless, velar, oral, stop', 'voiced, dental-alveolar, oral, flap']
koko	['voiceless, velar, oral, stop', 'voiceless, velar, oral, stop']
kōmiri	['voiceless, velar, oral, stop', 'voiced, bilabial, nasal, stop', 'voiced, dental-alveolar, oral, flap']
komo	['voiceless, velar, oral, stop', 'voiced, bilabial, nasal, stop']
komutu	['voiceless, velar, oral, stop', 'voiced, bilabial, nasal, stop', 'voiceless, dental, oral, stop']
kōnatu	['voiceless, velar, oral, stop', 'voiced, dental, nasal, stop', 'voiceless, dental, oral, stop']
kōpake	['voiceless, velar, oral, stop', 'voiceless, bilabial, oral, stop', 'voiceless, velar, oral, stop']
kōpaki	['voiceless, velar, oral, stop', 'voiceless, bilabial, oral, stop', 'voiceless, velar, oral, stop']
kopani	['voiceless, velar, oral, stop', 'voiceless, bilabial, oral, stop', 'voiced, dental, nasal, stop']
kōpani	['voiceless, velar, oral, stop', 'voiceless, bilabial, oral, stop', 'voiced, dental, nasal, stop']
kōpare	['voiceless, velar, oral, stop', 'voiceless, bilabial, oral, stop', 'voiced, dental-alveolar, oral, flap']
kōpenu	['voiceless, velar, oral, stop', 'voiceless, bilabial, oral, stop', 'voiced, dental, nasal, stop']
kōpenupenu	['voiceless, velar, oral, stop', 'voiceless, bilabial, oral, stop', 'voiced, dental, nasal, stop', 'voiceless, bilabial, oral, stop', 'voiced, dental, nasal, stop']
kopi	['voiceless, velar, oral, stop', 'voiceless, bilabial, oral, stop']
