ā	āia
whakakai	whakakairia
whakakakara	whakakakaratia
whakakake	whakakakea
whakakāniwha	whakakāniwhatia
whakakao	whakakaotia
whakakapi	whakakapia
whakakikī	whakakikītia
whakakino	whakakinotia
whakakite	whakakitea
whakakoi	whakakoia
whakakopakopa	whakakopakopaia
whakakōpeke	whakakōpeketia
whakakopi	whakakopitia
whakakore	whakakoretia
whakakorokoro	whakakorokorotia
whakakoromeke	whakakoromeketia
whakakōrua	whakakōruatia
whakamahana	whakamahanatia
whakamahara	whakamaharatia
whakamahi	whakamahia
whakamākūkū	whakamākūkūtia
whakamāmā	whakamāmātia
whakamamae	whakamamaetia
whakamana	whakamanahia
whakamanawa	whakamanawatia
whakamānu	whakamānutia
whakamāoa	whakamāoatia
whakamāori	whakamāoritia
whakamārama	whakamāramatia
whakamārie	whakamārietia
whakamaroke	whakamaroketia
whakamārōrō	whakamārōrōtia
whakamataku	whakamatakuria
whakamātaotao	whakamātaotaoria
whakamātau	whakamātauria
whakamātautau	whakamātautauria
whakamate	whakamatea
whakamau	whakamaua
whakamihi	whakamihia
whakamīharo	whakamīharotia
whakamine	whakaminea
whakamoe	whakamoea
whakamōhio	whakamōhiotia
whakamōkā	whakamōkātia
whakamuri	whakamuria
whakamutu	whakamutua
whakananu	whakananua
whakangaere	whakangaerea
whakangahau	whakangahautia
whakangahoro	whakangahorotia
whakangaro	whakangaromia
whakangau	whakangaua
whakangāwari	whakangāwarihia
whakanoa	whakanoatia
whakanoho	whakanohoia
whakanui	whakanuia
whakaoho	whakaohotia
whakaora	whakaorangia
whakaoti	whakaotihia
whakapā	whakapākia
whakapae	whakapaea
whakapai	whakapaia
whakapaipai	whakapaipaitia
whakapakeke	whakapakeketia
whakapakoko	whakapakokotia
whakapapa	whakapapatia
whakaparahako	whakaparahakotia
whakaparu	whakaparua
whakapau	whakapaungia
whakapiata	whakapiatatia
whakapiko	whakapikoa
whakapiri	whakapiria
whakapōhēhē	whakapōhēhēngia
whakapokorua	whakapokoruatia
whakapono	whakaponohia
whakapoto	whakapotohia
whakapua	whakapuatia
whakapuaki	whakapuakina
whakapuare	whakapuaretia
whakapuhari	whakapuharia
whakapuhi	whakapuhia
whakapūmau	whakapūmautia
whakapuru	whakapurua
whakaputa	whakaputaina
whakarangatira	whakarangatiratia
whakaranu	whakaranua
whakarapa	whakarapangia
whakarapihi	whakarapihitia
whakarāpopoto	whakarāpopotongia
whakarārangi	whakarārangitia
whakararu	whakararua
whakarato	whakaratohia
whakarawa	whakarawatia
whakarāwai	whakarāwaitia
whakarawe	whakarawea
whakareka	whakarekangia
